window_id,symbol,window_start_utc,window_end_utc,point_count
btcusdt_0001,BTCUSDT,2026-02-01T00:00:00Z,2026-02-01T08:36:00Z,517
btcusdt_0002,BTCUSDT,2026-02-01T00:01:00Z,2026-02-01T08:37:00Z,517
btcusdt_0003,BTCUSDT,2026-02-01T00:02:00Z,2026-02-01T08:38:00Z,517
btcusdt_0004,BTCUSDT,2026-02-01T00:03:00Z,2026-02-01T08:39:00Z,517
btcusdt_0005,BTCUSDT,2026-02-01T00:04:00Z,2026-02-01T08:40:00Z,517
btcusdt_0006,BTCUSDT,2026-02-01T00:05:00Z,2026-02-01T08:41:00Z,517
btcusdt_0007,BTCUSDT,2026-02-01T00:06:00Z,2026-02-01T08:42:00Z,517
btcusdt_0008,BTCUSDT,2026-02-01T00:07:00Z,2026-02-01T08:43:00Z,517
btcusdt_0009,BTCUSDT,2026-02-01T00:08:00Z,2026-02-01T08:44:00Z,517
btcusdt_0010,BTCUSDT,2026-02-01T00:09:00Z,2026-02-01T08:45:00Z,517
btcusdt_0011,BTCUSDT,2026-02-01T00:10:00Z,2026-02-01T08:46:00Z,517
btcusdt_0012,BTCUSDT,2026-02-01T00:11:00Z,2026-02-01T08:47:00Z,517
btcusdt_0013,BTCUSDT,2026-02-01T00:12:00Z,2026-02-01T08:48:00Z,517
btcusdt_0014,BTCUSDT,2026-02-01T00:13:00Z,2026-02-01T08:49:00Z,517
btcusdt_0015,BTCUSDT,2026-02-01T00:14:00Z,2026-02-01T08:50:00Z,517
btcusdt_0016,BTCUSDT,2026-02-01T00:15:00Z,2026-02-01T08:51:00Z,517
btcusdt_0017,BTCUSDT,2026-02-01T00:16:00Z,2026-02-01T08:52:00Z,517
btcusdt_0018,BTCUSDT,2026-02-01T00:17:00Z,2026-02-01T08:53:00Z,517
btcusdt_0019,BTCUSDT,2026-02-01T00:18:00Z,2026-02-01T08:54:00Z,517
btcusdt_0020,BTCUSDT,2026-02-01T00:19:00Z,2026-02-01T08:55:00Z,517
btcusdt_0021,BTCUSDT,2026-02-01T00:20:00Z,2026-02-01T08:56:00Z,517
btcusdt_0022,BTCUSDT,2026-02-01T00:21:00Z,2026-02-01T08:57:00Z,517
btcusdt_0023,BTCUSDT,2026-02-01T00:22:00Z,2026-02-01T08:58:00Z,517
btcusdt_0024,BTCUSDT,2026-02-01T00:23:00Z,2026-02-01T08:59:00Z,517
btcusdt_0025,BTCUSDT,2026-02-01T00:24:00Z,2026-02-01T09:00:00Z,517
btcusdt_0026,BTCUSDT,2026-02-01T00:25:00Z,2026-02-01T09:01:00Z,517
btcusdt_0027,BTCUSDT,2026-02-01T00:26:00Z,2026-02-01T09:02:00Z,517
btcusdt_0028,BTCUSDT,2026-02-01T00:27:00Z,2026-02-01T09:03:00Z,517
btcusdt_0029,BTCUSDT,2026-02-01T00:28:00Z,2026-02-01T09:04:00Z,517
btcusdt_0030,BTCUSDT,2026-02-01T00:29:00Z,2026-02-01T09:05:00Z,517
btcusdt_0031,BTCUSDT,2026-02-01T00:30:00Z,2026-02-01T09:06:00Z,517
btcusdt_0032,BTCUSDT,2026-02-01T00:31:00Z,2026-02-01T09:07:00Z,517
btcusdt_0033,BTCUSDT,2026-02-01T00:32:00Z,2026-02-01T09:08:00Z,517
btcusdt_0034,BTCUSDT,2026-02-01T00:33:00Z,2026-02-01T09:09:00Z,517
btcusdt_0035,BTCUSDT,2026-02-01T00:34:00Z,2026-02-01T09:10:00Z,517
btcusdt_0036,BTCUSDT,2026-02-01T00:35:00Z,2026-02-01T09:11:00Z,517
btcusdt_0037,BTCUSDT,2026-02-01T00:36:00Z,2026-02-01T09:12:00Z,517
btcusdt_0038,BTCUSDT,2026-02-01T00:37:00Z,2026-02-01T09:13:00Z,517
btcusdt_0039,BTCUSDT,2026-02-01T00:38:00Z,2026-02-01T09:14:00Z,517
btcusdt_0040,BTCUSDT,2026-02-01T00:39:00Z,2026-02-01T09:15:00Z,517
btcusdt_0041,BTCUSDT,2026-02-01T00:40:00Z,2026-02-01T09:16:00Z,517
btcusdt_0042,BTCUSDT,2026-02-01T00:41:00Z,2026-02-01T09:17:00Z,517
btcusdt_0043,BTCUSDT,2026-02-01T00:42:00Z,2026-02-01T09:18:00Z,517
btcusdt_0044,BTCUSDT,2026-02-01T00:43:00Z,2026-02-01T09:19:00Z,517
btcusdt_0045,BTCUSDT,2026-02-01T00:44:00Z,2026-02-01T09:20:00Z,517
btcusdt_0046,BTCUSDT,2026-02-01T00:45:00Z,2026-02-01T09:21:00Z,517
btcusdt_0047,BTCUSDT,2026-02-01T00:46:00Z,2026-02-01T09:22:00Z,517
btcusdt_0048,BTCUSDT,2026-02-01T00:47:00Z,2026-02-01T09:23:00Z,517
btcusdt_0049,BTCUSDT,2026-02-01T00:48:00Z,2026-02-01T09:24:00Z,517
btcusdt_0050,BTCUSDT,2026-02-01T00:49:00Z,2026-02-01T09:25:00Z,517
btcusdt_0051,BTCUSDT,2026-02-01T00:50:00Z,2026-02-01T09:26:00Z,517
btcusdt_0052,BTCUSDT,2026-02-01T00:51:00Z,2026-02-01T09:27:00Z,517
btcusdt_0053,BTCUSDT,2026-02-01T00:52:00Z,2026-02-01T09:28:00Z,517
btcusdt_0054,BTCUSDT,2026-02-01T00:53:00Z,2026-02-01T09:29:00Z,517
btcusdt_0055,BTCUSDT,2026-02-01T00:54:00Z,2026-02-01T09:30:00Z,517
btcusdt_0056,BTCUSDT,2026-02-01T00:55:00Z,2026-02-01T09:31:00Z,517
btcusdt_0057,BTCUSDT,2026-02-01T00:56:00Z,2026-02-01T09:32:00Z,517
btcusdt_0058,BTCUSDT,2026-02-01T00:57:00Z,2026-02-01T09:33:00Z,517
btcusdt_0059,BTCUSDT,2026-02-01T00:58:00Z,2026-02-01T09:34:00Z,517
btcusdt_0060,BTCUSDT,2026-02-01T00:59:00Z,2026-02-01T09:35:00Z,517
btcusdt_0061,BTCUSDT,2026-02-01T01:00:00Z,2026-02-01T09:36:00Z,517
btcusdt_0062,BTCUSDT,2026-02-01T01:01:00Z,2026-02-01T09:37:00Z,517
btcusdt_0063,BTCUSDT,2026-02-01T01:02:00Z,2026-02-01T09:38:00Z,517
btcusdt_0064,BTCUSDT,2026-02-01T01:03:00Z,2026-02-01T09:39:00Z,517
btcusdt_0065,BTCUSDT,2026-02-01T01:04:00Z,2026-02-01T09:40:00Z,517
btcusdt_0066,BTCUSDT,2026-02-01T01:05:00Z,2026-02-01T09:41:00Z,517
btcusdt_0067,BTCUSDT,2026-02-01T01:06:00Z,2026-02-01T09:42:00Z,517
btcusdt_0068,BTCUSDT,2026-02-01T01:07:00Z,2026-02-01T09:43:00Z,517
btcusdt_0069,BTCUSDT,2026-02-01T01:08:00Z,2026-02-01T09:44:00Z,517
btcusdt_0070,BTCUSDT,2026-02-01T01:09:00Z,2026-02-01T09:45:00Z,517
btcusdt_0071,BTCUSDT,2026-02-01T01:10:00Z,2026-02-01T09:46:00Z,517
btcusdt_0072,BTCUSDT,2026-02-01T01:11:00Z,2026-02-01T09:47:00Z,517
btcusdt_0073,BTCUSDT,2026-02-01T01:12:00Z,2026-02-01T09:48:00Z,517
btcusdt_0074,BTCUSDT,2026-02-01T01:13:00Z,2026-02-01T09:49:00Z,517
btcusdt_0075,BTCUSDT,2026-02-01T01:14:00Z,2026-02-01T09:50:00Z,517
btcusdt_0076,BTCUSDT,2026-02-01T01:15:00Z,2026-02-01T09:51:00Z,517
btcusdt_0077,BTCUSDT,2026-02-01T01:16:00Z,2026-02-01T09:52:00Z,517
btcusdt_0078,BTCUSDT,2026-02-01T01:17:00Z,2026-02-01T09:53:00Z,517
btcusdt_0079,BTCUSDT,2026-02-01T01:18:00Z,2026-02-01T09:54:00Z,517
btcusdt_0080,BTCUSDT,2026-02-01T01:19:00Z,2026-02-01T09:55:00Z,517
btcusdt_0081,BTCUSDT,2026-02-01T01:20:00Z,2026-02-01T09:56:00Z,517
btcusdt_0082,BTCUSDT,2026-02-01T01:21:00Z,2026-02-01T09:57:00Z,517
btcusdt_0083,BTCUSDT,2026-02-01T01:22:00Z,2026-02-01T09:58:00Z,517
btcusdt_0084,BTCUSDT,2026-02-01T01:23:00Z,2026-02-01T09:59:00Z,517
btcusdt_0085,BTCUSDT,2026-02-01T01:24:00Z,2026-02-01T10:00:00Z,517
